,id,name,corp_id,corp_name,at_present_fouds_id,at_present_fouds_name,job_duration_days,at_present_total_size,at_present_best_profit,at_present_fouds_num
1240,30302862,牛兴华,80065990,建信基金,"000270,001304,002585,003831,006500,006501,530020,531020","建信灵活配置混合,建信鑫安回报灵活配置混合,建信兴利灵活配置混合,建信鑫瑞回报灵活配置混合,建信润利增强债券A,建信润利增强债券C,建信转债增强债券A,建信转债增强债券C",2386,1152000000.0,51.85,8
1241,30051450,牛勇,80055334,华泰柏瑞基金,"007306,007307,010345,010346,460001","华泰柏瑞基本面智选A,华泰柏瑞基本面智选C,华泰柏瑞成长智选混合A,华泰柏瑞成长智选混合C,华泰柏瑞盛世中国混合",3906,3121000000.0,182.72,5
1242,30171107,倪玉娟,80000226,博时基金,"000730,000891,002855,004200,005462,008106,009356,009357,010762,010763","博时现金宝货币A,博时现金宝货币B,博时现金宝货币C,博时富瑞纯债债券A,博时富业3个月定开债,博时富瑞纯债债券C,博时季季乐持有期债券A,博时季季乐持有期债券C,博时恒康持有期混合A,博时恒康持有期混合C",1162,77007000000.0,19.37,10
1243,30585801,牛永涛,80046522,益民基金,560006,益民核心增长混合,529,56000000.00000001,34.07,1
1244,30195071,聂毅翔,80000230,鹏华基金,"004292,005967,006230,010365,010894,010895,011460,011461,501025","鹏华沪深港互联网股票,鹏华创新驱动混合,鹏华研究驱动混合,鹏华香港银行指数(LOF)C,鹏华汇智优选混合A,鹏华汇智优选混合C,鹏华创新成长混合A,鹏华创新成长混合C,鹏华香港银行指数(LOF)A",1411,15858000000.000002,102.77,9
1245,30346728,牛志冬,80000221,富国基金,"161025,161028,161035,161036,161037,512710","富国中证移动互联网指数(LOF),富国中证新能源汽车指数(LOF),富国中证医药主题指数增强,富国中证娱乐主题指数增强型,富国中证高端制造指数增强型,富国中证军工龙头ETF",2224,15081000000.0,135.0,6
1246,30709328,区德成,80174741,方正富邦基金,"003787,003788,003795,003796,006416,006417,006731,006732,008394,008395","方正富邦惠利纯债A,方正富邦惠利纯债C,方正富邦睿利纯债A,方正富邦睿利纯债C,方正富邦丰利债券A,方正富邦丰利债券C,方正富邦富利纯债A,方正富邦富利纯债C,方正富邦恒利纯债A,方正富邦恒利纯债C",146,1005000000.0000001,1.46,10
1247,30043274,欧阳凯,80064225,工银瑞信基金,"000763,485011,485111","工银新财富灵活配置混合,工银瑞信双利债券B,工银瑞信双利债券A",4486,24302000000.0,187.1,3
1248,30571183,欧阳力君,80048752,中银基金,000432,中银优秀企业混合,1200,23000000.0,44.76,1
1249,30549897,彭成军,80000251,景顺长城基金,"000181,000182,000465,007537,007603,007604,008409,009499,009755,010477,011088,011089,011090","景顺长城四季金利债券A,景顺长城四季金利债券C,景顺长城鑫月薪定期支付债券,景顺长城景泰盈利纯债,景顺长城中短债A,景顺长城中短债C,景顺长城景泰裕利纯债债券,景顺长城安鑫回报混合A,景顺长城安鑫回报混合C,景顺长城景泰益利纯债债券,景顺长城景泰恒利一年定开债,景顺长城景颐惠利一年持有期债券A,景顺长城景颐惠利一年持有期债券C",762,7184999999.999999,274.94,13
1250,30488455,潘飞,80049689,诺安基金,"000521,000640,000641,001026,006737","诺安瑞鑫定开债券,诺安理财宝货币A,诺安理财宝货币B,诺安理财宝货币C,诺安恒惠债券",1742,6083000000.0,15.58,5
1251,30197761,彭海平,80046614,中海基金,"000003,000004,393001,398041,399001","中海可转债债券A,中海可转债债券C,中海优势精选灵活配置混合,中海量化策略混合,中海上证50指数增强",3079,1034000000.0,140.68,5
1252,30277939,彭海伟,80000222,华夏基金,519029,华夏稳增混合,2705,1156000000.0,54.41,1
1253,30728180,潘泓宇,80355113,中信建投基金,"001006,004553,009236","中信建投凤凰货币A,中信建投凤凰货币B,中信建投稳泰一年定开债券",74,815000000.0,0.79,3
1254,30612105,皮劲松,80380794,创金合信基金,"003230,003231,010585,010586","创金合信医疗保健股票A,创金合信医疗保健股票C,创金合信医药消费股票A,创金合信医药消费股票C",957,1529000000.0,251.47,4
1255,30438880,潘龙玲,80065990,建信基金,004683,建信高端医疗股票,1902,215000000.0,128.67,1
1256,30398818,彭凌志,80000224,国泰基金,"000742,001542,005819,010912,010913","国泰新经济灵活配置混合,国泰互联网+股票,国泰优势行业混合,国泰成长价值混合A,国泰成长价值混合C",2022,2852000000.0,196.13,5
1257,30281714,潘明,80043374,国联安基金,"001956,011599,257070,501096","国联安科技动力,国联安匠心科技1个月持有混合,国联安优选行业混合,国联安科创3年封闭混合",2676,3325000000.0,221.65,4
1258,30377927,潘明曦,80036782,招商基金,"217001,217021","招商安泰混合,招商优势企业混合",2075,529000000.0,101.06,2
1259,30422786,庞世恩,80385906,红土创新基金,"006698,006699,006783,006784","红土创新沪深300增强A,红土创新沪深300增强C,红土创新中证500增强A,红土创新中证500增强C",1753,74000000.0,45.06,4
1260,30063534,蒲世林,80000221,富国基金,"000471,008372","富国城镇发展股票,富国阿尔法两年持有期混合",908,2433000000.0,151.31,2
1261,30549228,彭炜,80000231,融通基金,"001471,001852,007261,007527,007528,008445,009273,009891","融通新能源灵活配置混合,融通中国风1号灵活配置混合A/B,融通消费升级混合,融通量化多策略混合A,融通量化多策略混合C,融通产业趋势先锋股票,融通中国风1号灵活配置混合C,融通产业趋势臻选股票",1409,5885000000.0,135.63,8
1262,30112276,潘巍,80163340,安信基金,"003030,003031,003273,003274,003637,003638,006563,009605,010406,010407,010408,010819,010820","安信新目标混合A,安信新目标混合C,安信永丰定开债券A,安信永丰定开债券C,安信永鑫增强债券A,安信永鑫增强债券C,安信优享纯债债券,安信永顺一年定开债券,安信中债1-3年政策性金融债A,安信中债1-3年政策性金融债C,安信浩盈6个月持有混合,安信稳健回报6个月混合A,安信稳健回报6个月混合C",1006,2915000000.0,17.84,13
1263,30721224,彭玮,80041198,天弘基金,"002388,002639,005997,007740,007741,011408,011409,011784,011785","天弘裕利灵活配置混合A,天弘价值精选灵活配置混合,天弘裕利灵活配置混合C,天弘信益债券A,天弘信益债券C,天弘益新混合A,天弘益新混合C,天弘招添利混合A,天弘招添利混合C",170,1599000000.0,3.49,9
1264,30701794,庞文杰,80365985,北信瑞丰,"001829,002123,009954","北信瑞丰中国智造,北信瑞丰外延增长,北信瑞丰优选成长",378,126000000.0,23.67,3
1265,30442423,彭欣杨,80053204,华商基金,"630006,630010","华商产业升级混合,华商价值精选混合",1889,695000000.0,96.73,2
1266,30692111,潘漪,80061674,泰康资产,"008754,008755,011233","泰康睿福3月持有混合(FOF)A,泰康睿福3月持有混合(FOF)C,泰康福泰平衡养老三年持有混合(FOF)",427,1422000000.0,33.24,3
